"ActionType","Purpose"
"git-push","Push code changes to a remote repository"
"git-commit","Commit changes locally to a repository"
"repo-clone","Clone a repository to the system"
"file-edit","Edit or modify a file"
"code-analyze","Run static/dynamic code analysis"
"auto-correct","Automatically correct errors/warnings in code or system settings"
"deploy-update","Deploy a new version or update software"
"merge-review","Review and approve repository/code merges"
"agent-deploy","Launch or manage an intelligent agent/workflow"
"anomaly-scan","Scan for abnormal or risky system/repo behavior"
"rollback-task","Revert code, config, or workflow to an earlier safe state"
"endpoint-create","Generate or expose a new API/RPC endpoint"
"key-rotate","Rotate security access credentials/keys"
"session-start","Initiate a new authenticated/session process"
"session-end","Close/end session securely"
"compliance-audit","Audit compliance of code, workflow, or system"
"defense-escalate","Increase system protection or response due to detected threats"
"protocol-enforce","Enforce a network/policy protocol"
"breach-detect","Detect and log possible security breaches"
"incident-log","Record details of unusual or critical events for review"
"threat-intel-update","Fetch/add new threat intelligence or security data"
"generate-doc","Create documentation or reports"
"research-synthesize","Synthesize data from research sources"
"decision-augment","Enhance or support decisions via AI, research, or analytics"
"astro-navigate","Automated agentic browsing/data navigation"
"forensic-snapshot","Capture detailed forensic system state"
"encrypted-output","Output data in encrypted format"
"policy-draft","Draft or propose new organizational policies/standards"
"provenance-check","Validate source/origin/authenticity of code/data"
